CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,49,113,4
2,Female,56,130,36
3,Male,49,81,70
4,Male,21,142,31
5,Male,47,32,19
6,Female,54,39,61
7,Male,40,68,54
8,Male,56,72,39
9,Male,62,81,91
10,Female,32,118,74
11,Male,60,38,90
12,Male,46,128,19
13,Male,53,46,39
14,Male,30,100,67
15,Female,49,141,45
16,Male,24,144,13
17,Female,39,31,92
18,Female,45,118,58
19,Female,19,57,20
20,Male,59,53,92
21,Female,62,40,72
22,Male,23,113,61
23,Female,45,64,39
24,Female,45,27,1
25,Female,61,74,3
26,Female,61,149,77
27,Female,37,71,92
28,Female,47,50,62
29,Female,28,34,63
30,Female,45,79,25
31,Male,42,22,56
32,Male,56,129,33
33,Female,50,106,38
34,Female,18,112,6
35,Female,44,80,58
36,Male,30,46,44
37,Female,58,100,45
38,Male,20,65,32
39,Male,56,77,45
40,Male,23,139,61
41,Male,25,72,47
42,Male,44,72,21
43,Female,26,100,80
44,Female,54,63,85
45,Female,50,84,75
46,Female,59,29,36
47,Female,61,68,99
48,Male,41,115,19
49,Female,32,22,20
50,Female,49,67,57
51,Male,49,74,18
52,Female,41,122,47
53,Male,58,19,49
54,Female,29,117,14
55,Male,56,20,15
56,Female,19,123,31
57,Female,20,130,1
58,Male,54,108,54
59,Male,34,61,3
60,Male,19,113,16
61,Male,19,69,87
62,Male,45,66,57
63,Male,40,27,75
64,Male,54,128,12
65,Male,49,138,74
66,Female,50,120,96
67,Female,18,134,16
68,Male,36,77,72
69,Female,19,33,76
70,Female,61,106,24
71,Female,43,72,28
72,Female,49,104,8
73,Male,23,131,92
74,Female,49,76,36
75,Male,21,37,90
76,Female,28,141,8
77,Female,34,143,58
78,Female,55,72,60
79,Male,41,136,50
80,Female,22,15,28
81,Male,51,48,92
82,Female,23,110,41
83,Male,39,140,100
84,Female,28,132,64
85,Male,33,62,27
86,Male,50,103,63
87,Female,26,131,17
88,Male,23,143,73
89,Female,33,30,33
90,Female,46,83,84
91,Female,20,36,77
92,Female,37,107,92
93,Female,53,90,29
94,Female,36,100,13
95,Female,43,43,46
96,Female,20,83,35
97,Female,36,61,6
98,Female,37,108,82
99,Female,49,99,69
100,Male,24,53,47
101,Male,58,114,25
102,Female,50,47,66
103,Female,57,115,10
104,Female,56,37,56
105,Female,35,24,30
106,Female,57,83,5
107,Female,18,114,33
108,Female,28,48,65
109,Female,45,110,18
110,Male,42,15,96
111,Female,40,83,49
112,Male,48,18,11
113,Female,47,30,85
114,Female,59,38,26
115,Male,52,94,63
116,Female,24,16,89
117,Male,33,142,86
118,Female,43,98,59
119,Female,19,138,27
120,Male,18,47,49
121,Female,29,115,77
122,Male,22,26,33
123,Female,54,81,98
124,Male,49,79,99
125,Male,26,88,1
126,Female,58,57,21
127,Female,52,58,55
128,Male,36,43,6
129,Female,33,26,92
130,Female,20,109,81
131,Female,37,60,69
132,Male,41,144,95
133,Male,50,49,5
134,Male,41,95,3
135,Male,28,104,53
136,Male,25,22,23
137,Male,53,107,53
138,Male,55,104,37
139,Male,57,129,74
140,Male,37,119,74
141,Female,52,149,83
142,Male,42,72,17
143,Female,52,128,85
144,Female,42,89,78
145,Female,46,134,73
146,Male,35,35,1
147,Male,63,115,51
148,Male,35,113,45
149,Male,19,50,77
150,Female,52,110,4
151,Male,33,51,62
152,Male,58,26,65
153,Male,53,127,32
154,Male,50,27,34
155,Male,21,37,92
156,Female,50,113,95
157,Male,31,119,72
158,Female,38,44,39
159,Male,37,31,26
160,Female,25,127,34
161,Male,24,76,54
162,Male,20,98,3
163,Female,34,126,50
164,Female,50,100,12
165,Female,29,33,65
166,Male,39,114,54
167,Female,39,90,5
168,Male,63,23,94
169,Male,47,42,94
170,Female,55,142,57
171,Female,55,66,17
172,Male,62,97,47
173,Male,25,125,23
174,Female,44,131,79
175,Female,44,83,85
176,Female,51,113,14
177,Male,38,39,66
178,Male,47,137,75
179,Male,50,67,51
180,Male,45,71,38
181,Male,64,53,64
182,Male,50,123,98
183,Female,22,56,38
184,Male,36,136,50
185,Male,21,147,98
186,Male,52,89,82
187,Female,34,90,30
188,Male,61,23,79
189,Male,45,88,91
190,Female,47,21,51
191,Male,46,41,63
192,Male,63,136,98
193,Male,23,19,52
194,Male,52,43,38
195,Male,58,97,97
196,Female,54,123,88
197,Female,41,79,79
198,Female,46,100,30
199,Male,63,85,51
200,Male,48,59,81
